gym_name,category,address,area,pincode,phone,website,google_rating,review_count,google_maps_url
"Gold's Gym Gorakhpur Jabalpur","Gym","655, 3rd Floor, Chopra Chamber Cantt, Katanga Crossing, Jabalpur, MP 482001","Nehru Railway Colony","482001","+91 81035 99577","http://goldsgym.in/our-gyms/jabalpur-gorakpur/",4.1,259,"https://maps.google.com/?cid=ChIJq6qq6uKtgTkRrTyPJKcDj8M"
"Anytime Fitness","Gym / Fitness center","48, Narmada Road Gorakhpur, Thana Road, above VLCC, Hathital, Jabalpur MP 482001","Hathital","482001","+91 75660 66601","https://www.anytimefitness.co.in/gyms/in-1112/jabalpur-madhya-pradesh-482002/",4.6,205,"https://maps.google.com/?cid=ChIJwxpoy8mtgTkRq68hDc9RNos"
"Mudliar's Fitness Plaza","Gym","Narmada Rd, beside Central Bank of India, MCI Colony, Katanga, Jabalpur MP 482001","MCI Colony Katanga","482001","+91 62663 04589","",4.5,147,"https://maps.google.com/?cid=ChIJ7yfiq-StgTkRxfRaCSK6szc"
"THE FREAK GYM","Gym","Kingsway Street, above Woodland Showroom, Malhotra Compound, Cantt, Jabalpur MP 482001","Cantt","482001","+91 96309 47917","",4.9,40,"https://maps.google.com/?cid=ChIJ36mD66StgTkRc8Tieb7YuBE"
"Neo Fit Gym Gorakhpur","Gym","B-2, Narmada Rd, Bandaria Tiraha, Gorakhpur, Jabalpur MP 482001","Gorakhpur","482001","+91 70493 33222","http://neofitnessgym.com/",3.9,34,"https://maps.google.com/?cid=ChIJV15O2mWtgTkRqmefpJ6WP-A"
"Neo Fit Gym Napier Town","Gym","2nd Floor, Panchratan Tower, above Axis Bank, near Bus Stand, Napier Town, Jabalpur MP 482002","Napier Town","482002","+91 70008 87582","http://neofitnessgym.com/",4.3,59,"https://maps.google.com/?cid=ChIJfSpfxFGvgTkRD7E1HVrVIlU"
"Jabalpur Health Club","Gym","Shop No 6/7, Near Peepal Tree, Gali No 4 Hanuman Mandir, Sadar Bazar, Jabalpur MP 482001","Sadar Bazar","482001","+91 78988 75566","",4.3,15,"https://maps.google.com/?cid=ChIJ67nt7gytgTkRiG-upKqyOHQ"
"Wellness Center","Gym","Malhotra Compound, South Civil Lines, Jabalpur MP 482001","South Civil Lines","482001","","",4.6,25,"https://maps.google.com/?cid=ChIJ_3UnrR-vgTkRczUqOij88yY"
"Asia's Gym (Adarsh Nagar)","Gym / Fitness center","Gwaright Road, Adarsh Nagar, Rampur, Jabalpur MP 482001","Adarsh Nagar","482001","+91 88891 66777","",4.4,119,"https://maps.google.com/?cid=ChIJv-IRMPKtgTkR-BkkD-x-wnw"
"Asia's Gym (Civil Lines)","Gym / Fitness center","Opp. G.S. College, Govindh Bhavan Colony, South Civil Lines, Jabalpur MP 482001","South Civil Lines","482001","+91 88898 66777","",4.2,135,"https://maps.google.com/?cid=ChIJ9U3jOhCugTkRcRpGvusEsTc"
